Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
194,Godzilla,139.0,5.4,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",2014-05-14,160000000,529076069,93188384.0,PG-13,Action
196,The Curious Case of Benjamin Button,166.0,7.8,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",2008-12-25,160000000,329631958,26853816.0,PG-13,Drama
197,The Sorcerer's Apprentice,109.0,6.1,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer",2010-07-14,160000000,217986320,17619622.0,PG,Adventure
198,Poseidon,98.0,5.7,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas",2006-05-12,160000000,181674817,22155410.0,PG-13,Adventure
199,Warcraft,123.0,6.7,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",2016-05-25,160000000,438899824,24166110.0,PG-13,Action
201,Deepwater Horizon,107.0,7.1,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",2016-09-29,156000000,122359309,20223544.0,PG-13,Thriller/Suspense
203,Godzilla vs. Kong,113.0,6.3,Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry",2021-03-25,155000000,468064628,32200000.0,PG-13,Action
206,Alexander,175.0,5.6,Oliver Stone,"Colin Farrell, Anthony Hopkins, Rosario Dawson, Angelina Jolie",2004-11-24,155000000,167297191,13687087.0,R,Action
207,War for the Planet of the Apes,140.0,7.4,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",2017-07-14,152000000,489592267,56262929.0,PG-13,Action
208,Pearl Harbor,183.0,6.2,Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott",2001-05-25,151500000,449239853,59078912.0,PG-13,Action
209,Transformers,144.0,7.0,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2007-07-02,151000000,708272592,70502384.0,PG-13,Action
210,Frozen II,103.0,6.8,Chris Buck,"Jennifer Lee, Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",2019-11-20,150000000,1445182280,130263358.0,PG,Adventure
211,Wonder Woman,141.0,7.3,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis",2017-05-29,150000000,818058221,103251471.0,PG-13,Action
212,Frozen,102.0,7.4,Chris Buck,"Jennifer Lee, Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",2013-11-22,150000000,1261788407,243390.0,PG,Musical
213,Frozen,93.0,6.2,Adam Green,"Shawn Ashmore, Emma Bell, Kevin Zegers, Ed Ackerman",2013-11-22,150000000,1261788407,243390.0,PG,Musical
214,Zootopia,108.0,8.0,Byron Howard,"Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",2016-02-10,150000000,1004629935,75063401.0,PG,Adventure
215,Harry Potter and the Order of the Phoenix,138.0,7.5,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",2007-07-11,150000000,939619849,77108414.0,PG-13,Adventure
216,Harry Potter and the Goblet of Fire,157.0,7.7,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes",2005-11-18,150000000,886746240,102685961.0,PG-13,Adventure
217,The Matrix Reloaded,138.0,7.2,Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",2003-05-15,150000000,738576929,91774413.0,R,Action
219,Moana,107.0,7.6,Ron Clements,"John Musker, Don Hall, Chris Williams, Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",2016-01-27,150000000,631617146,56631401.0,PG,Musical
221,Hancock,92.0,6.4,Peter Berg,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",2008-07-01,150000000,624234272,62603879.0,PG-13,Action
222,Shang-Chi and the Legend of the Ten Rings,132.0,7.4,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung Chiu-wai, Ben Kingsley",2021-09-01,150000000,432243292,75388688.0,PG-13,Action
223,Charlie and the Chocolate Factory,115.0,6.7,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",2005-07-15,150000000,475825484,56178450.0,PG,Adventure
224,Ratatouille,111.0,8.1,Brad Bird,"Jan Pinkava, Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm",2007-06-29,150000000,626549695,47027395.0,G,Adventure
225,Thor: The Dark World,112.0,6.8,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård",2013-10-30,150000000,644602516,85737841.0,PG-13,Action
226,Batman Begins,140.0,8.2,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",2005-06-15,150000000,358858124,48745440.0,PG-13,Action
228,Dunkirk,106.0,7.8,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",2017-07-18,150000000,518058826,50513488.0,PG-13,Action
229,Thor,115.0,7.0,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011-04-29,150000000,449326618,65723338.0,PG-13,Action
230,Madagascar: Escape 2 Africa,89.0,6.6,Eric Darnell,"Tom McGrath, Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",2008-11-07,150000000,599680774,63106589.0,PG,Adventure
231,X-Men Origins: Wolverine,107.0,6.5,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2009-05-01,150000000,374825760,85058003.0,PG-13,Action
232,Night at the Museum: Battle of the Smithsonian,105.0,6.0,Shawn Levy,"Ben Stiller, Owen Wilson, Amy Adams, Hank Azaria",2009-05-22,150000000,402231063,54173286.0,PG,Adventure
233,Kung Fu Panda 2,90.0,7.3,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",2011-05-26,150000000,664837547,47656302.0,PG,Adventure
234,Mad Max: Fury Road,120.0,8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",2015-05-14,150000000,367457874,45428128.0,R,Action
235,Pokémon: Detective Pikachu,104.0,6.5,Rob Letterman,"Ryan Reynolds, Justice Smith, Kathryn Newton, Bill Nighy",2019-05-03,150000000,431344168,54365242.0,PG,Adventure
236,The Matrix Revolutions,129.0,6.7,Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",2003-11-05,150000000,427300260,48475154.0,R,Action
237,Ready Player One,140.0,7.4,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",2018-03-20,150000000,579055653,41769050.0,PG-13,Adventure
238,Chicken Little,81.0,5.7,Mark Dindal,"Zach Braff, Joan Cusack, Garry Marshall, Don Knotts",2005-11-04,150000000,310043823,40049778.0,G,Adventure
239,Mission: Impossible III,126.0,6.9,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",2006-05-05,150000000,399387745,47743273.0,PG-13,Action
240,Angels & Demons,138.0,6.7,Ron Howard,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård",2009-05-15,150000000,490875846,46204168.0,PG-13,Thriller/Suspense
241,Troy,163.0,7.3,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover",2004-05-13,150000000,483152040,46865412.0,R,Action
242,The Last Airbender,103.0,4.0,M. Night Shyamalan,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone, Dev Patel",2010-07-01,150000000,319713881,40325019.0,PG,Adventure
243,Bee Movie,91.0,6.1,Simon J. Smith,"Steve Hickner, Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton",2007-11-02,150000000,287594577,38021044.0,PG,Adventure
244,G-Force,88.0,5.1,Hoyt Yeatman,"Will Arnett, Penélope Cruz, Zach Galifianakis, Bill Nighy",2009-07-24,150000000,292817841,31706934.0,PG,Adventure
245,Bolt,96.0,6.8,Byron Howard,"Chris Williams, John Travolta, Miley Cyrus, Susie Essman, Mark Walton",2008-11-21,150000000,328015029,26223128.0,PG,Adventure
246,Encanto,102.0,7.2,Jared Bush,"Byron Howard, Charise Castro Smith, Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",2021-11-24,150000000,230873149,27206494.0,PG,Adventure
247,Wrath of the Titans,99.0,5.7,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes",2012-03-28,150000000,305270083,33457188.0,PG-13,Adventure
248,Beowulf,115.0,6.3,Robert Zemeckis,"Ray Winstone, Crispin Glover, Angelina Jolie, Robin Wright",2007-11-16,150000000,195080579,27515871.0,PG-13,Adventure
249,Dark Shadows,113.0,6.2,Tim Burton,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter",2012-05-09,150000000,238202668,29685274.0,PG-13,Black Comedy
250,White House Down,131.0,6.3,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",2013-06-28,150000000,205440387,24852258.0,PG-13,Thriller/Suspense
251,Space Jam: A New Legacy,115.0,4.5,Malcolm D. Lee,"LeBron James, Don Cheadle, Cedric Joe, Khris Davis",2021-07-14,150000000,144003749,31053362.0,PG,Comedy
252,The Wolfman,103.0,5.8,Joe Johnston,"Benicio Del Toro, Anthony Hopkins, Emily Blunt, Simon Merrells",2010-02-12,150000000,142634358,31479235.0,R,Horror
253,The Great Wall,103.0,5.9,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",2016-12-15,150000000,334486852,18469620.0,PG-13,Action
254,Pan,111.0,5.7,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",2015-09-25,150000000,151525973,15315435.0,PG,Adventure
255,Mars Needs Moms,88.0,5.4,Simon Wells,"Seth Green, Joan Cusack, Dan Fogler, Elisabeth Harnois",2011-03-11,150000000,39549758,6914488.0,PG,Adventure
256,Moonfall,130.0,5.1,Roland Emmerich,"Halle Berry, Patrick Wilson, John Bradley, Charlie Plummer",2022-02-03,150000000,59049032,9868997.0,PG-13,Action
259,Flushed Away,85.0,6.6,David Bowers,"Sam Fell, Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno",2006-11-03,149000000,179357126,18814323.0,PG,Adventure
260,Madagascar 3: Europe's Most Wanted,95.0,6.8,Eric Darnell,"Tom McGrath, Conrad Vernon, Ben Stiller, Jada Pinkett Smith, Chris Rock, David Schwimmer",2012-06-08,145000000,746921271,60316738.0,PG,Adventure
262,How to Train Your Dragon 2,102.0,7.8,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",2014-06-05,145000000,614586270,49451322.0,PG,Adventure
263,Tarzan,88.0,7.3,Chris Buck,"Kevin Lima, Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close",1999-06-16,145000000,448191819,34221968.0,G,Adventure
264,Mr. Peabody & Sherman,92.0,6.8,Rob Minkoff,"Ty Burrell, Max Charles, Stephen Colbert, Leslie Mann",2014-02-20,145000000,269806430,32207057.0,PG,Adventure
265,Rise of the Guardians,97.0,7.2,Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine",2012-11-20,145000000,306900902,23773465.0,PG,Adventure
266,Sahara,124.0,6.1,Breck Eisner,"Matthew McConaughey, Penélope Cruz, Steve Zahn, Mark Aspinall",2005-04-08,145000000,121645390,18068372.0,PG-13,Adventure
267,Sahara,111.0,4.9,Andrew V. McLaglen,"John Guillermin, Brooke Shields, Lambert Wilson, John Rhys-Davies, Horst Buchholz",2005-04-08,145000000,121645390,18068372.0,PG-13,Adventure
268,Ghostbusters,105.0,7.8,Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",2016-07-13,144000000,229008658,46018755.0,PG-13,Comedy
269,Ghostbusters,117.0,6.8,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016-07-13,144000000,229008658,46018755.0,PG-13,Comedy
270,Die Another Day,133.0,6.1,Lee Tamahori,"Pierce Brosnan, Halle Berry, Rosamund Pike, Toby Stephens",2002-11-22,142000000,431942139,47072040.0,PG-13,Action
272,Star Trek,127.0,7.9,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",2009-05-08,140000000,386839614,79204289.0,PG-13,Adventure
273,Armageddon,151.0,6.7,Michael Bay,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler",1998-07-01,140000000,554600000,36089972.0,PG-13,Adventure
275,Captain America: The First Avenger,124.0,6.9,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell",2011-07-22,140000000,370569776,65058524.0,PG-13,Action
276,Kung Fu Panda 3,95.0,7.1,Alessandro Carloni,"Jennifer Yuh Nelson, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",2016-01-23,140000000,521170825,41282042.0,PG,Adventure
277,Lethal Weapon 4,127.0,6.6,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo",1998-07-10,140000000,285400000,34048124.0,R,Action
278,G.I. Joe: Retaliation,110.0,5.7,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki, Lee Byung-hun",2013-03-27,140000000,375740705,40501814.0,PG-13,Action
279,The Last Samurai,154.0,7.8,Edward Zwick,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton",2003-12-05,140000000,456810575,24271354.0,R,Action
281,Exodus: Gods and Kings,150.0,6.0,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",2014-12-05,140000000,268314513,24115934.0,PG-13,Drama
282,The BFG,117.0,6.3,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",2016-06-30,140000000,199646680,18775350.0,PG,Adventure
283,Gemini Man,117.0,5.7,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",2019-10-03,140000000,166623705,20552372.0,PG-13,Action
284,Gods of Egypt,127.0,5.4,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",2016-02-24,140000000,138836756,14123903.0,PG-13,Adventure
286,Spider-Man,121.0,7.4,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",2002-05-03,139000000,821706375,114844116.0,PG-13,Adventure
287,Watchmen,162.0,7.6,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman",2009-03-06,138000000,186976250,55214334.0,R,Action
288,Stealth,121.0,5.1,Rob Cohen,"Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard",2005-07-29,138000000,76416746,13251545.0,PG-13,Action
289,The Incredible Hulk,112.0,6.6,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008-06-13,137500000,265573859,55414050.0,PG-13,Adventure
290,Hulk,138.0,5.6,Ang Lee,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",2003-06-20,137000000,245031679,62128420.0,PG-13,Action
291,Final Fantasy: The Spirits Within,106.0,6.4,Hironobu Sakaguchi,"Motonori Sakakibara, Alec Baldwin, Steve Buscemi, Ming-Na Wen, Ving Rhames",2001-07-11,137000000,85131830,11408853.0,PG-13,Adventure
293,The Croods,98.0,7.1,Kirk DeMicco,"Chris Sanders, Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener",2013-03-15,135000000,573068425,43639736.0,PG,Adventure
294,The Revenant,156.0,8.0,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",2015-12-25,135000000,532938302,474560.0,R,Adventure
296,Rango,107.0,7.3,Gore Verbinski,"Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin",2011-03-04,135000000,245724600,38079323.0,PG,Adventure
297,Master and Commander: The Far Side of the World,138.0,7.5,Peter Weir,"Russell Crowe, Paul Bettany, Billy Boyd, James D'Arcy",2003-11-14,135000000,212912137,25105990.0,PG-13,Adventure
298,Turbo,96.0,6.4,David Soren,"Ryan Reynolds, Paul Giamatti, Maya Rudolph, Samuel L. Jackson",2013-07-17,135000000,286896578,21312625.0,PG,Adventure
300,Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,5.9,Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016-06-02,135000000,245328374,35316382.0,PG-13,Adventure
301,Happy Feet Two,117.0,5.8,George Miller,"Gary Eck, David Peers, Elijah Wood, Robin Williams, Pink, Carlos Alazraqui",2011-11-18,135000000,157956466,21237068.0,PG,Adventure
302,Miami Vice,132.0,6.1,Michael Mann,"Colin Farrell, Jamie Foxx, Gong Li, Naomie Harris",2006-07-28,135000000,164920076,25723815.0,R,Action
303,The Nutcracker and the Four Realms,99.0,5.6,Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren",2018-10-31,132900000,170024300,20352491.0,PG,Adventure
304,War of the Worlds,116.0,6.5,Steven Spielberg,"Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto",2005-06-24,132000000,606836535,64878725.0,PG-13,Action
305,Penguins of Madagascar,92.0,6.6,Eric Darnell,"Simon J. Smith, Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon",2014-11-26,132000000,366942531,25447444.0,PG,Adventure
306,The Hunger Games: Catching Fire,146.0,7.5,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",2013-11-15,130000000,864868047,158074286.0,PG-13,Adventure
307,Harry Potter and the Prisoner of Azkaban,142.0,7.9,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths",2004-05-31,130000000,789592708,93687367.0,PG,Adventure
308,The Bourne Ultimatum,115.0,8.0,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007-08-03,130000000,444043396,69283690.0,PG-13,Thriller/Suspense
309,Ant-Man and the Wasp,118.0,7.0,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",2018-07-03,130000000,623144660,75812205.0,PG-13,Action
310,Kung Fu Panda,92.0,7.6,Mark Osborne,"John Stevenson, Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman",2008-06-06,130000000,631910531,60239130.0,PG,Adventure
311,Ant-Man,117.0,7.2,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",2015-07-14,130000000,518858449,57225526.0,PG-13,Action
312,Home,94.0,6.5,Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015-03-19,130000000,385997896,52107731.0,PG,Adventure
313,Mary Poppins Returns,130.0,6.7,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",2018-12-19,130000000,348901032,23523121.0,PG,Musical
314,Puss in Boots,90.0,6.6,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",2011-10-28,130000000,554987477,34077439.0,PG,Adventure
315,Megamind,95.0,7.3,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010-11-05,130000000,321887208,46016833.0,PG,Adventure
316,Bad Boys II,147.0,6.6,Michael Bay,"Will Smith, Martin Lawrence, Gabrielle Union, Jordi Mollà",2003-07-18,130000000,273271982,46522560.0,R,Action
317,Rio 2,101.0,6.3,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia",2014-03-20,130000000,492846291,39327869.0,G,Adventure
318,Salt,100.0,6.4,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010-07-23,130000000,290650494,36011243.0,PG-13,Thriller/Suspense
319,Noah,138.0,5.8,Darren Aronofsky,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",2014-03-27,130000000,352831065,43720472.0,PG-13,Drama
320,The Adventures of Tintin,107.0,7.3,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg",2011-10-28,130000000,373993951,9720993.0,PG,Adventure
321,After Earth,100.0,4.8,M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith, Sophie Okonedo",2013-05-31,130000000,251499665,27520040.0,PG-13,Action
322,Australia,165.0,6.6,Baz Luhrmann,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",2008-11-26,130000000,215080810,14800723.0,PG-13,Drama
323,R.I.P.D.,96.0,5.6,Robert Schwentke,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker, Kevin Bacon",2013-07-19,130000000,79076678,12691415.0,PG-13,Action
324,How to Train Your Dragon: The Hidden World,104.0,7.4,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",2019-01-03,129000000,521214533,55022245.0,PG,Adventure
326,Dinosaur,82.0,6.4,Eric Leighton,"Ralph Zondag, D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard",2000-05-19,127500000,356148063,38854851.0,PG,Adventure
327,Logan,137.0,8.1,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",2017-02-23,127000000,614202315,88411916.0,R,Action
328,Night at the Museum: Secret of the Tomb,98.0,6.2,Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",2014-12-18,127000000,353756621,17100520.0,PG,Adventure
330,The Hunger Games: Mockingjay - Part 1,123.0,6.6,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014-11-19,125000000,766575131,121897634.0,PG-13,Thriller/Suspense
332,Jumanji: The Next Level,123.0,6.7,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan",2019-12-04,125000000,798332900,59251543.0,PG-13,Adventure
334,The Da Vinci Code,149.0,6.6,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",2006-05-19,125000000,767820459,77073388.0,PG-13,Thriller/Suspense
336,Fast Five,130.0,7.3,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011-04-21,125000000,630163454,86198765.0,PG-13,Action
337,Teenage Mutant Ninja Turtles,93.0,6.8,Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",2014-08-08,125000000,485004754,65575105.0,PG-13,Adventure
338,Teenage Mutant Ninja Turtles,101.0,5.8,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014-08-08,125000000,485004754,65575105.0,PG-13,Adventure
339,Sherlock Holmes: A Game of Shadows,129.0,7.4,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011-12-16,125000000,535663443,39637079.0,PG-13,Action
340,The Day After Tomorrow,124.0,6.5,Roland Emmerich,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",2004-05-27,125000000,555840117,68743584.0,PG-13,Adventure
341,The Boss Baby,97.0,6.3,Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",2017-03-17,125000000,527965936,50198902.0,PG,Adventure
342,Clash of the Titans,106.0,5.8,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",2010-04-01,125000000,493214888,61235105.0,PG-13,Action
343,Clash of the Titans,118.0,6.9,Desmond Davis,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith",2010-04-01,125000000,493214888,61235105.0,PG-13,Action
344,Trolls,92.0,6.4,Mike Mitchell,"Walt Dohrn, Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",2016-10-12,125000000,343242613,46581142.0,PG,Adventure
345,Godzilla,123.0,6.4,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",1998-05-19,125000000,376000000,93188384.0,PG-13,Action
346,Godzilla,139.0,5.4,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",1998-05-19,125000000,376000000,93188384.0,PG-13,Action
347,Prometheus,124.0,7.0,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012-05-30,125000000,402448265,51050101.0,R,Thriller/Suspense
348,The Bourne Legacy,135.0,6.6,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",2012-08-10,125000000,280355920,38142825.0,PG-13,Thriller/Suspense
349,Batman & Robin,125.0,3.8,Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",1997-06-20,125000000,238317814,42872605.0,PG-13,Action
350,Skyscraper,102.0,5.8,Rawson Marshall Thurber,"Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller",2018-07-05,125000000,304868961,24905015.0,PG,Action
351,The Call of the Wild,100.0,6.7,Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens",2020-01-03,125000000,107360936,24791624.0,PG,Adventure
352,Total Recall,113.0,7.5,Paul Verhoeven,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin",2012-08-03,125000000,211856088,25577758.0,PG-13,Action
353,Total Recall,118.0,6.2,Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale",2012-08-03,125000000,211856088,25577758.0,PG-13,Action
355,Monster Trucks,104.0,5.7,Chris Wedge,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",2016-12-29,125000000,61642798,10950705.0,PG-13,Adventure
356,The 13th Warrior,102.0,6.6,John McTiernan,"Michael Crichton, Antonio Banderas, Diane Venora, Dennis Storhøi, Vladimir Kulich",1999-08-27,125000000,61698899,10267756.0,R,Action
357,How the Grinch Stole Christmas,104.0,6.3,Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",2000-11-17,123000000,345445403,55820330.0,PG,Adventure
359,The Perfect Storm,130.0,6.5,Wolfgang Petersen,"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",2000-06-30,120000000,328711434,41325042.0,PG-13,Drama
360,Jason Bourne,123.0,6.6,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel",2016-07-20,120000000,416168316,59215365.0,PG-13,Action
361,Uncharted,116.0,6.3,Ruben Fleischer,"Tom Holland, Mark Wahlberg, Antonio Banderas, Sophia Ali",2022-02-10,120000000,401748820,44010155.0,PG-13,Adventure
363,Life of Pi,127.0,7.9,Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",2012-11-21,120000000,619310368,22451514.0,PG,Drama
364,Ghost Rider,110.0,5.3,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2007-02-16,120000000,229545589,45388836.0,PG-13,Action
365,Rampage,107.0,6.1,Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",2018-04-09,120000000,427947217,35753093.0,PG-13,Action
366,Charlie's Angels: Full Throttle,106.0,4.9,McG,"Drew Barrymore, Lucy Liu, Cameron Diaz, Bernie Mac",2003-06-27,120000000,227163273,37634221.0,PG-13,Action
